Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m3)
10/10/year 1,3554,25.55555556,15,51.5,48.1755929,0,1183.394874
10/11/year 1,3554,25,13.33333333,46,48.1112193,0,1165.07349
10/12/year 1,3554,24.44444444,14.44444444,53.5,48.038799,0,1146.752105
10/13/year 1,2789,26.11111111,13.88888889,46,47.9261452,0,1155.912798
10/14/year 1,2789,25,12.77777778,44,48.1594995,0,951.8791986
10/15/year 1,3554,20,15,72,48.3365269,0.12,973.5317438
10/16/year 1,3554,22.22222222,14.44444444,59.5,48.2882467,0,914.4036396
10/17/year 1,3554,22.22222222,13.33333333,58.5,48.3526203,0,928.561073
10/18/year 1,3554,22.77777778,12.22222222,55.5,48.2962934,0,941.052926
10/19/year 1,3554,22.22222222,12.22222222,60.5,48.3284802,0,1164.2407
10/20/year 1,2789,20,11.66666667,53.5,48.4491807,0,1125.93235
10/21/year 1,2789,21.11111111,11.66666667,54.5,48.3928538,0,1142.588154
10/22/year 1,3554,21.11111111,10.55555556,55,48.360667,0,1113.440497
10/23/year 1,3554,19.44444444,10,55,48.3767604,0,1131.913298
10/24/year 1,3554,18.88888889,10,57,48.2802,0,999.34824
10/25/year 1,3554,18.88888889,10,61,48.2077797,0,951.8791986
10/26/year 1,3554,19.44444444,10.55555556,58,48.2721533,0,965.2038418
10/27/year 1,2789,20,10.55555556,56,48.3284802,0,946.0496672
10/28/year 1,2789,21.11111111,11.66666667,58,48.3204335,0,886.0887728
10/29/year 1,3554,21.11111111,11.66666667,54,48.2641066,0,910.2396886
10/30/year 1,3554,21.11111111,11.66666667,60.5,48.2882467,0,934.3906044
10/31/year 1,3554,21.66666667,12.22222222,58,48.2641066,0,980.1940654
11/1/year 1,3554,21.11111111,12.22222222,58,48.2399665,0,1041.82054
11/2/year 1,3554,21.11111111,12.22222222,59.5,48.1916863,0,1073.466568
11/3/year 1,2789,21.11111111,10.55555556,50.5,48.1916863,0,1086.791211
11/4/year 1,2789,21.11111111,10.55555556,52.5,48.1755929,0,1096.784693
11/5/year 1,3554,20.55555556,10.55555556,58,48.2238731,0.04,1068.469827
11/6/year 1,3554,19.44444444,8.888888889,51.5,48.2641066,0,1055.977974
11/7/year 1,3554,18.88888889,10,59,48.199733,0,1120.935609
11/8/year 1,3554,18.88888889,8.888888889,55.5,48.1031726,0,1139.256994
11/9/year 1,3554,18.88888889,10,54,48.1836396,0,1145.919315
11/10/year 1,2789,19.44444444,10.55555556,54.5,48.3284802,0,1112.607707
11/11/year 1,2789,17.77777778,10.55555556,63,48.2882467,0,1121.768399
11/12/year 1,3554,18.33333333,10,59,48.360667,0,1131.761882
11/13/year 1,3554,17.77777778,10.55555556,66.5,48.4250406,0,1154.247217
11/14/year 1,3554,17.77777778,7.777777778,55.5,48.2641066,0,1139.256994
11/15/year 1,3554,16.66666667,8.333333333,56.5,48.3365269,0,1137.591413
11/16/year 1,3554,17.77777778,8.333333333,58.5,48.441134,0,1130.17201
11/17/year 1,2789,17.77777778,8.888888889,55,48.4330873,0,1119.270029
11/18/year 1,2789,16.66666667,8.888888889,62,48.3284802,0,1114.273288
11/19/year 1,3554,16.66666667,7.222222222,55,48.360667,0,1098.450274
11/20/year 1,3554,16.66666667,6.111111111,57,48.3928538,0,909.4068984
11/21/year 1,3554,17.22222222,6.111111111,52,48.360667,0,896.6122126
11/22/year 1,3554,16.66666667,6.111111111,51.5,48.2641066,0,702.0421386
11/23/year 1,3554,15.55555556,7.222222222,59.5,48.2480132,0,724.527474
11/24/year 1,2789,15.55555556,7.222222222,60,48.3928538,0,707.0388798
11/25/year 1,2789,13.88888889,5.555555556,59.5,48.3365269,0,710.3700406
11/26/year 1,3554,15.55555556,6.111111111,53,48.3848071,0,858.6066962
11/27/year 1,3554,15,4.444444444,55,48.3123868,0,1084.29284
11/28/year 1,3554,14.44444444,7.222222222,59.5,48.2480132,0.08,1207.54579
11/29/year 1,3554,14.44444444,8.333333333,62.5,48.3204335,0.08,1168.404651
11/30/year 1,3554,13.88888889,6.111111111,57.5,48.4652741,0,1203.381839
12/1/year 1,2789,13.33333333,5,57.5,48.3928538,0,1209.21137
12/2/year 1,2789,13.88888889,4.444444444,57.5,48.4330873,0,1204.214629
12/3/year 1,3554,14.44444444,3.333333333,54,48.4813675,0,1204.214629
12/4/year 1,3554,15,3.888888889,52.5,48.4089472,0,1451.553319
12/5/year 1,3554,12.77777778,5.555555556,62,48.4089472,0,1494.025619
12/6/year 1,3554,14.44444444,3.888888889,54,48.441134,0,1487.401151
12/7/year 1,3554,15.55555556,5,55.5,48.3204335,0,1282.496908
12/8/year 1,2789,16.66666667,6.111111111,47,48.2399665,0,1247.51972
12/9/year 1,2789,16.66666667,5.555555556,52,48.2077797,0,1402.418697
12/10/year 1,3554,16.66666667,6.666666667,54.5,48.1755929,0,1567.311156
12/11/year 1,3554,13.33333333,7.777777778,61.5,48.3848071,0.04,1682.236204
12/12/year 1,3554,13.33333333,7.222222222,66,48.3526203,0,1698.892008
12/13/year 1,3554,10.55555556,8.888888889,86,48.3123868,0.2,1504.019101
12/14/year 1,3554,9.444444444,8.888888889,92.5,48.5135543,0.35,1489.861668
